Frame,Time,E_Complex_Ha,E_Ligand_Ha,E_Residues_Ha,E_Interaction_Ha,E_Interaction_kJ,MM_Coulomb_kJ,MM_LJ_kJ,E_Int_MM_kJ
frame_0ps,0,-543.513270565051,-95.295213471003,-448.114326564568,-0.10373052948006034,-272.3445051498984,-125.510529,-128.431137,-253.941666
frame_1000ps,1000,-430.62538781976,-95.275501766411,-335.288826468561,-0.06105958478798357,-160.31193986085086,-6.131634,-69.63932,-75.770954
frame_1200ps,1200,-377.994497782544,-95.274424168354,-282.658303367985,-0.06177024620495786,-162.17778141111685,-37.010326,-62.828487,-99.838813
frame_1400ps,1400,-351.892146436246,-95.298201575205,-256.53988550719,-0.05405935385101657,-141.932833535844,3.188097,-82.895782,-79.707685
frame_1600ps,1600,-449.769577911253,-95.280284757305,-354.424265687697,-0.06502746625096734,-170.72961264191474,-1.937595,-94.870483,-96.808078
frame_1800ps,1800,-345.550207921812,-95.29073334978,-250.211698124684,-0.04777644734798514,-125.43706251213499,-3.274853,-69.742928,-73.017781
frame_2000ps,2000,-448.636149592552,-95.283583540511,-353.286276496616,-0.06628955542498716,-174.04322776830378,-1.6885,-105.878952,-107.567452
frame_200ps,200,-379.543115616108,-95.297969165616,-284.19269294482,-0.052453505672019674,-137.71667914188765,-6.518597,-48.855831,-55.374428
frame_2200ps,2200,-452.782868926289,-95.288464664317,-357.428767761065,-0.06563650090697593,-172.3286331312653,-6.730254,-99.390808,-106.12106200000001
frame_2400ps,2400,-380.996879801742,-95.28928871826,-285.646856638243,-0.06073444523906346,-159.45828597516112,-5.895663,-96.899536,-102.795199
frame_2600ps,2600,-457.553520508833,-95.277859171249,-362.217415897943,-0.05824543964098439,-152.9234017774045,9.002405,-109.262848,-100.26044300000001
frame_2800ps,2800,-377.997091269276,-95.287063150183,-282.65118362908,-0.05884449001297298,-154.49620852906057,-20.685263,-84.599991,-105.28525400000001
frame_3000ps,3000,-412.92452618366,-95.290155249531,-317.573318165944,-0.0610527681850499,-160.2940428698485,0.94765,-92.292381,-91.34473100000001
frame_3200ps,3200,-349.209339775825,-95.287361261195,-253.862863118818,-0.059115395812000315,-155.20747170440683,2.279446,-105.882164,-103.60271800000001
frame_3400ps,3400,-330.190950275904,-95.293791659998,-234.836350832455,-0.06080778345099702,-159.6508354505927,-8.150422,-79.174072,-87.324494
frame_3600ps,3600,-377.981585089014,-95.283918022041,-282.625041286243,-0.07262578072999304,-190.67898730659672,-61.632576,-73.470261,-135.102837
frame_3800ps,3800,-355.530410585045,-95.285615680478,-260.179163908175,-0.06563099639203074,-172.3141810272767,-9.089916,-64.440605,-73.53052100000001
frame_4000ps,4000,-276.930271956185,-95.290846128804,-181.594105370363,-0.045320457017993476,-118.98885990074187,-7.624673,-36.337795,-43.962468
frame_400ps,400,-487.264669353873,-95.278681285698,-391.919175812762,-0.06681225541302638,-175.41557658690076,-18.620716,-97.352524,-115.97324
frame_4200ps,4200,-276.92632835637,-95.294295178317,-181.57838749681,-0.05364568124301172,-140.8467361035273,-11.24296,-45.38369,-56.62665
frame_4400ps,4400,-271.229706983695,-95.284900859967,-175.895688726193,-0.04911739753501365,-128.95772722817833,-15.314477,-39.265781,-54.580258
frame_4600ps,4600,-245.109753628625,-95.279233184085,-149.801761397157,-0.028759047382976632,-75.50687890400515,-16.665493,-33.828217,-50.49371000000001
frame_4800ps,4800,-368.939390532922,-95.284430377223,-273.61654181828,-0.03841833741898881,-100.86734489355513,4.538023,-71.309967,-66.771944
frame_5000ps,5000,-410.36283305835,-95.293136852322,-315.001587421869,-0.06810878415905108,-178.81961280958862,-35.188129,-98.944016,-134.132145
frame_600ps,600,-425.73011184591,-95.284873611433,-330.369949969358,-0.07528826511901343,-197.66934006996976,-15.606856,-81.00946,-96.61631600000001
frame_800ps,800,-452.817028112248,-95.286390955625,-357.457344593508,-0.07329256311498966,-192.42962445840536,-41.961723,-90.191605,-132.153328
