Frame,CumulativeAverage
1,-16.57
2,-15.16
3,-15.75
4,-15.9575
5,-16.214
6,-14.795
7,-13.945714285714285
8,-13.0575
9,-12.575555555555555
10,-11.745
11,-11.091818181818182
12,-10.6625
13,-10.267692307692307
14,-9.857857142857142
15,-9.615999999999998
16,-9.445624999999998
17,-9.324705882352939
18,-9.328888888888887
19,-9.135263157894736
20,-9.069499999999998
21,-9.059047619047616
22,-8.899545454545454
23,-8.796956521739128
24,-8.827499999999999
25,-8.788399999999998
26,-8.649615384615384
27,-8.559259259259258
28,-8.534999999999998
29,-8.414137931034482
30,-8.320666666666666
31,-8.30225806451613
32,-8.240625
33,-8.041818181818181
34,-7.952647058823529
35,-7.764857142857142
36,-7.698055555555555
37,-7.701891891891891
38,-7.737368421052631
39,-7.643076923076923
40,-7.705499999999999
41,-7.739512195121951
42,-7.633095238095238
43,-7.664418604651162
44,-7.600454545454546
45,-7.390444444444444
46,-7.3
47,-7.203829787234042
48,-7.107708333333332
49,-7.004897959183673
50,-6.947799999999998
51,-6.866666666666665
52,-6.771730769230768
53,-6.662075471698111
54,-6.567222222222221
55,-6.622727272727272
56,-6.626071428571428
57,-6.686666666666666
58,-6.649827586206896
59,-6.704406779661016
60,-6.789666666666665
61,-6.77655737704918
62,-6.769516129032257
63,-6.732063492063491
64,-6.701406249999999
65,-6.738923076923076
66,-6.769696969696968
67,-6.832089552238804
68,-6.892352941176469
69,-6.844782608695651
70,-6.832857142857141
71,-6.841830985915492
72,-6.822083333333333
73,-6.792328767123286
74,-6.7581081081081065
75,-6.767599999999999
76,-6.776184210526314
77,-6.77038961038961
78,-6.8015384615384615
79,-6.786075949367089
80,-6.781375
81,-6.778641975308641
82,-6.760365853658535
83,-6.748674698795179
84,-6.772857142857141
85,-6.772705882352939
86,-6.776395348837208
87,-6.734022988505746
88,-6.717954545454545
89,-6.734494382022472
90,-6.722666666666666
91,-6.706263736263736
92,-6.698152173913043
93,-6.717204301075269
94,-6.7237234042553204
95,-6.722
96,-6.7664583333333335
97,-6.815773195876289
98,-6.8188775510204085
99,-6.792121212121212
100,-6.838499999999999
101,-6.874059405940593
102,-6.908823529411763
103,-6.98029126213592
104,-7.011826923076921
105,-7.038285714285712
106,-7.070566037735847
107,-7.100841121495325
108,-7.09546296296296
109,-7.105688073394493
110,-7.104181818181816
111,-7.065495495495493
112,-7.0750892857142835
113,-7.073628318584068
114,-7.079035087719296
115,-7.099304347826084
116,-7.110689655172411
117,-7.1027350427350395
118,-7.161779661016946
119,-7.168319327731091
120,-7.162749999999998
121,-7.167107438016528
122,-7.162131147540982
123,-7.17642276422764
124,-7.184677419354837
125,-7.1795199999999975
126,-7.195396825396823
127,-7.19314960629921
128,-7.194687499999997
129,-7.220620155038756
130,-7.216692307692305
131,-7.236488549618318
132,-7.228939393939391
133,-7.2366165413533805
134,-7.241567164179101
135,-7.2244444444444404
136,-7.210955882352938
137,-7.219343065693427
138,-7.252028985507243
139,-7.2804316546762555
140,-7.304928571428569
141,-7.3036879432624096
142,-7.305070422535209
143,-7.278881118881117
144,-7.287986111111108
145,-7.284896551724135
146,-7.255753424657531
147,-7.229863945578228
148,-7.205135135135132
149,-7.187046979865768
150,-7.196799999999997
151,-7.175165562913905
152,-7.150460526315787
153,-7.146405228758168
154,-7.160519480519477
155,-7.143741935483868
156,-7.14583333333333
157,-7.169235668789805
158,-7.151265822784806
159,-7.145911949685531
160,-7.1508749999999965
161,-7.1680124223602455
162,-7.175061728395058
163,-7.170613496932512
164,-7.157926829268289
165,-7.174909090909088
166,-7.1772289156626465
167,-7.17898203592814
168,-7.16053571428571
169,-7.164437869822481
170,-7.153470588235289
171,-7.139707602339176
172,-7.133895348837205
173,-7.123641618497105
174,-7.110689655172409
175,-7.097657142857138
176,-7.093920454545449
177,-7.097005649717509
178,-7.105842696629209
179,-7.108212290502789
180,-7.0865555555555515
181,-7.110883977900548
182,-7.131813186813183
183,-7.1575409836065536
184,-7.153043478260865
185,-7.134918918918914
186,-7.1488172043010705
187,-7.145240641711226
188,-7.154680851063826
189,-7.142910052910049
190,-7.122263157894733
191,-7.105602094240835
192,-7.0950520833333295
193,-7.072124352331603
194,-7.0632474226804085
195,-7.055948717948715
196,-7.036887755102037
197,-7.010761421319794
198,-6.988282828282825
199,-6.964422110552761
200,-6.934049999999997
201,-6.913631840796017
202,-6.8982178217821755
203,-6.8880788177339864
204,-6.883823529411761
205,-6.8741951219512165
206,-6.8656796116504815
207,-6.8613526570048275
208,-6.861153846153842
209,-6.837177033492819
210,-6.822238095238092
211,-6.808199052132697
212,-6.791179245283015
213,-6.764694835680747
214,-6.752850467289716
215,-6.734325581395345
216,-6.722546296296293
217,-6.702626728110596
218,-6.68550458715596
219,-6.677168949771686
220,-6.666454545454542
221,-6.653619909502258
222,-6.645270270270266
223,-6.627757847533628
224,-6.61616071428571
225,-6.610533333333329
226,-6.597831858407075
227,-6.568986784140964
228,-6.540263157894732
229,-6.511921397379908
230,-6.483782608695647
231,-6.4558874458874405
232,-6.4281896551724085
233,-6.400772532188836
234,-6.373547008547003
235,-6.346510638297866
236,-6.319745762711859
237,-6.293206751054846
238,-6.266890756302515
239,-6.240836820083676
240,-6.214958333333327
241,-6.189336099585056
242,-6.163884297520655
243,-6.13868312757201
244,-6.113729508196715
245,-6.120571428571422
246,-6.140243902439018
247,-6.167125506072868
248,-6.1867338709677355
249,-6.211526104417664
250,-6.245719999999993
251,-6.277171314741029
