time,msd
900.0,1.32082
920.0,1.36498
940.0,1.40922
960.0,1.45246
980.0,1.49705
1000.0,1.54387
1020.0,1.59032
1040.0,1.63603
1060.0,1.68258
1080.0,1.72907
1100.0,1.77881
1120.0,1.82481
1140.0,1.8699
1160.0,1.9124
1180.0,1.95728
1200.0,2.00102
1220.0,2.04622
1240.0,2.0922
1260.0,2.14185
1280.0,2.19038
1300.0,2.23538
1320.0,2.28421
1340.0,2.33238
1360.0,2.37929
1380.0,2.42536
1400.0,2.47301
1420.0,2.52075
1440.0,2.56974
1460.0,2.61932
1480.0,2.66741
1500.0,2.71799
1520.0,2.76716
1540.0,2.81542
1560.0,2.86268
1580.0,2.91161
1600.0,2.96056
1620.0,3.01256
1640.0,3.06293
1660.0,3.10934
1680.0,3.15403
1700.0,3.19748
1720.0,3.24389
1740.0,3.28776
1760.0,3.32943
1780.0,3.37216
1800.0,3.41766
1820.0,3.46328
1840.0,3.50944
1860.0,3.55418
1880.0,3.6028
1900.0,3.65218
1920.0,3.70037
1940.0,3.74892
1960.0,3.79401
1980.0,3.8411
2000.0,3.88701
2020.0,3.93681
2040.0,3.98966
2060.0,4.03688
2080.0,4.0854
2100.0,4.13637
2120.0,4.18876
2140.0,4.24143
2160.0,4.29751
2180.0,4.35657
2200.0,4.41578
2220.0,4.47244
2240.0,4.53212
2260.0,4.59255
2280.0,4.65155
2300.0,4.71491
2320.0,4.78025
2340.0,4.8419
2360.0,4.90346
2380.0,4.96631
2400.0,5.03127
2420.0,5.09917
2440.0,5.16122
2460.0,5.21947
2480.0,5.27726
2500.0,5.33572
2520.0,5.39245
2540.0,5.4507
2560.0,5.51076
2580.0,5.56807
2600.0,5.62259
2620.0,5.68017
2640.0,5.73483
2660.0,5.78906
2680.0,5.84254
2700.0,5.90083
2720.0,5.95543
2740.0,6.00277
2760.0,6.05067
2780.0,6.09496
2800.0,6.13877
2820.0,6.18147
2840.0,6.21926
2860.0,6.25928
2880.0,6.29517
2900.0,6.32419
2920.0,6.357
2940.0,6.38845
2960.0,6.42774
2980.0,6.4677
3000.0,6.50976
3020.0,6.55251
3040.0,6.60287
3060.0,6.66196
3080.0,6.72256
3100.0,6.77782
3120.0,6.83539
3140.0,6.89307
3160.0,6.94627
3180.0,7.00212
3200.0,7.05982
3220.0,7.11923
3240.0,7.16676
3260.0,7.21162
3280.0,7.2607
3300.0,7.2976
3320.0,7.32953
3340.0,7.36489
3360.0,7.40255
3380.0,7.43794
3400.0,7.46055
